listing_id,title,property_type,price,beds,baths,eircode,area,distance_from_city_km,distance_category,has_bus,has_dart,has_luas,url
4977926,"42 Monastery Heath Avenue, Clondalkin, Dublin 22, D22 PP86",Terraced,435000,3.0,3.0,D22PP86,Dublin 22,10,Outer,1,0,1,https://www.myhome.ie/residential/brochure/42-monastery-heath-avenue-clondalkin-dublin-22/4977926
4988746,"2 Holywell Heath, Holywell, Swords, Co. Dublin, K67 YY57",Terraced,380000,2.0,2.0,K67 YY57,Unknown,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/2-holywell-heath-holywell-swords-co-dublin/4988746
4988721,"50 Harold's Cross Cottages, Harold's Cross, Dublin 6 , D06 W682",Bungalow,325000,2.0,1.0,D06W682,Dublin 6,5,Suburban,1,0,1,https://www.myhome.ie/residential/brochure/50-harold-s-cross-cottages-harold-s-cross-dublin-6/4988721
4977990,"359 Navan Road, Dublin 7, D07 T0F6",Semi-Detached,650000,3.0,1.0,D07 T0F6,Dublin 7,10,Outer,1,0,1,https://www.myhome.ie/residential/brochure/359-navan-road-dublin-7/4977990
4986325,"12 Trimleston Drive, Booterstown, Blackrock, County Dublin, A94 RV06",Semi-Detached,995000,4.0,2.0,A94 RV06,Dublin 4,5,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/12-trimleston-drive-booterstown-blackrock-county-dublin/4986325
4982501,"5 De Valera Place, Phibsboro, Dublin 7, D07 X6Y1",Studio,575000,3.0,2.0,D07X6Y1,Dublin 7,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/5-de-valera-place-phibsboro-dublin-7/4982501
4923804,"29 WELLPARK AVENUE, Drumcondra, Dublin 9, D09 X3R8",Semi-Detached,525000,2.0,1.0,D09 X3R8,Dublin 9,6,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/29-wellpark-avenue-drumcondra-dublin-9/4923804
4988534,"12 Elmwood Park, Swords, County Dublin, K67 PW13",Semi-Detached,520000,3.0,2.0,K67PW13,Dublin 5,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/12-elmwood-park-swords-county-dublin/4988534
4986672,"43 Quarry Road, Cabra, Dublin 7, D07 AYH0",Studio,495000,3.0,1.0,D07AYH0,Dublin 7,10,Outer,1,0,1,https://www.myhome.ie/residential/brochure/43-quarry-road-cabra-dublin-7/4986672
4908311,"13 Ashleigh Grove, Castleknock, Dublin 15, D15 TW94",Detached,845000,4.0,3.0,D15 TW94,Dublin 15,12,Outer,1,0,1,https://www.myhome.ie/residential/brochure/13-ashleigh-grove-castleknock-dublin-15/4908311
4988680,"15 James Connolly Park, Dublin 22, County Dublin, D22 FP63",Terraced,325000,3.0,1.0,D22 FP63,Dublin 22,10,Outer,1,0,1,https://www.myhome.ie/residential/brochure/15-james-connolly-park-dublin-22-county-dublin/4988680
4988691,"Druid Lodge, Killiney Hill Road, Killiney, Co. Dublin, A96 PA66",Detached,2950000,8.0,8.0,A96 PA66,Unknown,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/druid-lodge-killiney-hill-road-killiney-co-dublin/4988691
4988673,"55 New Market Square, Ward's Hill, Dublin 8",Studio,365000,2.0,1.0,D08 RH5K,Dublin 8,3,City Centre,1,0,1,https://www.myhome.ie/residential/brochure/55-new-market-square-ward-s-hill-dublin-8/4988673
4988699,"4 Canon Lillis Avenue, Seville Place, Dublin 1, D01 N2F7",Apartment,345000,3.0,1.0,D01N2F7,Dublin 1,1,City Centre,1,0,1,https://www.myhome.ie/residential/brochure/4-canon-lillis-avenue-seville-place-dublin-1/4988699
4988292,"24 The Paddocks Drive, Adamstown, County Dublin, K78 EY06",End of Terrace,425000,3.0,3.0,K78EY06,Dublin 6,5,Suburban,1,0,1,https://www.myhome.ie/residential/brochure/24-the-paddocks-drive-adamstown-county-dublin/4988292
4954170,"2 Mackies Place, off Pembroke Street Lower, Dublin 2, D02 WA40",Studio,720000,3.0,3.0,D02 WA40,Dublin 2,1,City Centre,1,1,1,https://www.myhome.ie/residential/brochure/2-mackies-place-off-pembroke-street-lower-dublin-2/4954170
4988658,"57 The Courtyard, Clonsilla, Dublin 15",Apartment,295000,2.0,2.0,D15H5H2,Dublin 15,12,Outer,1,0,1,https://www.myhome.ie/residential/brochure/57-the-courtyard-clonsilla-dublin-15/4988658
4981139,"17 Ramor Park, Blanchardstown, Dublin 15, County Dublin, D15 E2NY",Semi-Detached,550000,4.0,2.0,D15 E2NY,Dublin 15,12,Outer,1,0,1,https://www.myhome.ie/residential/brochure/17-ramor-park-blanchardstown-dublin-15-county-dublin/4981139
4988678,"26 Springfield, Blackhorse Avenue, Dublin 7, D07 V5N0",Apartment,675000,3.0,3.0,D07V5N0,Dublin 7,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/26-springfield-blackhorse-avenue-dublin-7/4988678
4988698,"1 Uppercross House, Temple Park, Richmond Avenue South, Dublin 6, D06 K750",Studio,355000,1.0,1.0,D06 K750,Dublin 6,5,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/1-uppercross-house-temple-park-richmond-avenue-south-dublin-6/4988698
4988690,"27 Kenilworth Lane West, Rathgar, Dublin 6, D06 P6E5",Semi-Detached,850000,3.0,3.0,D06 P6E5,Dublin 6,5,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/27-kenilworth-lane-west-rathgar-dublin-6/4988690
4988676,"10 Kilbarron Drive, Kilmore, Dublin 5, D05 TW93",Apartment,375000,4.0,2.0,D05TW93,Dublin 5,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/10-kilbarron-drive-kilmore-dublin-5/4988676
4982740,"3 Marlborough Road, North Circular Road, Dublin 7, A96 Y0T0",Studio,975000,7.0,8.0,A96 Y0T0,Dublin 7,10,Outer,1,0,1,https://www.myhome.ie/residential/brochure/3-marlborough-road-north-circular-road-dublin-7/4982740
4985857,"31 Parkview Green, Finglas, Dublin 11, D11 ER89",Duplex,275000,2.0,2.0,D11ER89,Dublin 11,7,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/31-parkview-green-finglas-dublin-11/4985857
